Velocidad Angular (rad/s),Radio de la rueda (m),rel_transmision de Transmisión,RPM
12.8,0.82,10.07,14.84
13.24,0.99,10.07,12.7
10.77,0.84,10.07,12.15
11.12,1.19,10.07,8.84
15.69,1.23,10.07,12.07
11.62,0.81,10.07,13.61
13.91,0.76,10.07,17.31
12.74,1.13,10.07,10.67
13.58,0.87,10.07,14.85
13.18,0.91,10.07,13.81
8.0,0.77,10.07,9.84
14.78,0.77,10.07,18.12
9.09,1.17,10.07,7.37
12.21,0.95,10.07,12.22
8.82,0.79,10.07,10.65
7.95,1.02,10.07,7.4
11.94,0.9,10.07,12.58
10.37,1.17,10.07,8.43
14.13,1.07,10.07,12.57
14.36,0.62,10.07,21.97
11.91,0.93,10.07,12.18
13.89,1.01,10.07,13.06
11.21,0.97,10.07,10.94
10.45,1.07,10.07,9.29
10.06,1.28,10.07,7.46
