Velocidad Angular,Radio de la rueda (m),Relacion de Transmision,RPM
10.42,0.88,10.32,10.98
7.36,1.17,10.32,5.81
12.89,1.13,10.32,10.51
14.2,0.67,10.32,19.58
15.17,0.65,10.32,21.75
11.34,1.11,10.32,9.45
13.87,1.35,10.32,9.48
9.23,1.04,10.32,8.24
11.79,0.9,10.32,12.1
7.59,0.64,10.32,11.05
15.99,0.98,10.32,15.05
14.91,0.91,10.32,15.12
11.33,1.07,10.32,9.81
13.75,0.61,10.32,20.8
10.03,1.22,10.32,7.59
14.88,1.27,10.32,10.88
12.44,1.01,10.32,11.4
12.55,1.08,10.32,10.72
12.77,0.72,10.32,16.46
14.03,0.73,10.32,17.86
9.26,0.99,10.32,8.69
14.71,1.23,10.32,11.11
7.26,0.8,10.32,8.41
9.02,0.62,10.32,13.52
13.22,1.03,10.32,11.83
11.78,0.65,10.32,16.72
7.96,1.11,10.32,6.65
14.96,1.17,10.32,11.84
8.23,1.01,10.32,7.53
12.71,1.14,10.32,10.34
10.01,1.32,10.32,7.01
7.3,1.32,10.32,5.12
12.86,0.73,10.32,16.38
7.38,1.22,10.32,5.58
10.68,1.32,10.32,7.51
12.49,1.1,10.32,10.52
12.85,0.75,10.32,15.91
15.23,1.05,10.32,13.37
11.72,1.22,10.32,8.86
8.35,1.33,10.32,5.8
11.49,0.84,10.32,12.62
15.71,0.65,10.32,22.34
14.93,0.62,10.32,22.45
14.35,0.61,10.32,21.81
8.4,0.88,10.32,8.79
15.16,0.92,10.32,15.32
8.87,0.63,10.32,12.97
13.26,0.91,10.32,13.51
12.58,1.37,10.32,8.51
13.14,1.2,10.32,10.09
12.55,1.23,10.32,9.44
9.64,1.1,10.32,8.08
11.01,1.34,10.32,7.59
9.88,0.98,10.32,9.33
15.12,0.65,10.32,21.56
13.34,0.96,10.32,12.86
9.57,1.03,10.32,8.62
14.77,1.2,10.32,11.38
15.22,0.8,10.32,17.67
9.39,0.96,10.32,9.01
12.26,0.93,10.32,12.17
11.96,1.17,10.32,9.48
9.65,0.94,10.32,9.46
15.07,1.03,10.32,13.48
7.97,0.76,10.32,9.75
8.28,1.2,10.32,6.36
11.5,1.36,10.32,7.8
10.62,1.02,10.32,9.66
9.45,1.29,10.32,6.78
10.78,1.32,10.32,7.56
12.33,0.82,10.32,13.85
9.21,0.79,10.32,10.76
12.61,1.26,10.32,9.26
15.59,0.87,10.32,16.52
10.69,1.2,10.32,8.26
14.49,0.74,10.32,18.24
9.32,0.68,10.32,12.68
15.8,0.99,10.32,14.8
11.55,0.7,10.32,15.31
13.9,0.82,10.32,15.66
7.1,1.36,10.32,4.83
15.92,0.61,10.32,24.0
8.7,1.13,10.32,7.13
10.24,0.83,10.32,11.41
14.18,0.71,10.32,18.41
8.23,0.75,10.32,10.21
8.58,0.62,10.32,12.74
9.41,1.33,10.32,6.55
12.25,1.12,10.32,10.1
15.51,0.67,10.32,21.27
12.67,1.3,10.32,9.02
7.42,1.04,10.32,6.63
11.88,1.25,10.32,8.76
14.14,1.3,10.32,10.07
11.92,1.09,10.32,10.1
10.79,1.3,10.32,7.67
13.98,1.02,10.32,12.73
14.7,1.07,10.32,12.69
14.22,1.12,10.32,11.75
15.62,1.0,10.32,14.53
